Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,0.130859,0.134766,0.130859,0.130859,0.075792,691200
1980-01-03,0.130859,0.131348,0.129395,0.129395,0.074944,1536000
1980-01-04,0.130371,0.132324,0.130371,0.132324,0.076641,921600
1980-01-07,0.132324,0.132324,0.130859,0.131836,0.076358,409600
1980-01-08,0.131836,0.134766,0.130859,0.134277,0.077772,1971200
1980-01-09,0.134766,0.135742,0.134766,0.134766,0.078055,665600
1980-01-10,0.134766,0.137695,0.133789,0.137695,0.079752,5043200
1980-01-11,0.137207,0.137207,0.135742,0.136719,0.079186,691200
1980-01-14,0.137695,0.140625,0.137695,0.138672,0.080317,4966400
1980-01-15,0.138672,0.140137,0.136719,0.136719,0.079186,4582400
1980-01-16,0.137207,0.137695,0.137207,0.137207,0.079469,204800
1980-01-17,0.136719,0.136719,0.133789,0.133789,0.077489,2713600
1980-01-18,0.133789,0.133789,0.128906,0.128906,0.074661,2073600
1980-01-21,0.128906,0.128906,0.126953,0.126953,0.073530,1203200
1980-01-22,0.127441,0.129883,0.127441,0.129395,0.074944,1152000
1980-01-23,0.128906,0.128906,0.126953,0.128906,0.074661,2790400
1980-01-24,0.129883,0.132324,0.129883,0.132324,0.076641,1408000
1980-01-25,0.132813,0.134766,0.132813,0.134766,0.078055,998400
1980-01-28,0.134766,0.134766,0.134766,0.134766,0.078055,25600
1980-01-29,0.136230,0.138184,0.136230,0.137695,0.079752,4352000
1980-01-30,0.137695,0.138672,0.136719,0.137695,0.079752,512000
1980-01-31,0.138672,0.139160,0.138672,0.139160,0.080600,153600
1980-02-01,0.138672,0.138672,0.138184,0.138672,0.080317,384000
1980-02-04,0.137207,0.137207,0.133789,0.133789,0.077489,742400
1980-02-05,0.134277,0.138184,0.134277,0.138184,0.080035,2022400
1980-02-06,0.137695,0.137695,0.137695,0.137695,0.079752,1408000
1980-02-07,0.137695,0.137695,0.136719,0.137695,0.079752,844800
1980-02-08,0.137695,0.137695,0.136230,0.136230,0.078903,307200
1980-02-11,0.135742,0.135742,0.133789,0.135742,0.078620,307200
1980-02-12,0.135742,0.136719,0.133789,0.133789,0.077489,972800
1980-02-13,0.133789,0.133789,0.130859,0.133789,0.077489,819200
1980-02-14,0.133789,0.135254,0.133789,0.133789,0.077489,896000
1980-02-15,0.133789,0.134766,0.133301,0.134766,0.078055,512000
1980-02-19,0.133789,0.133789,0.133301,0.133789,0.077489,1612800
1980-02-20,0.132813,0.132813,0.130859,0.131836,0.076358,332800
1980-02-21,0.130859,0.130859,0.128906,0.130859,0.075792,972800
1980-02-22,0.128906,0.128906,0.128418,0.128418,0.074378,1971200
1980-02-25,0.127930,0.127930,0.127441,0.127930,0.074096,588800
1980-02-26,0.126953,0.126953,0.126465,0.126953,0.073530,102400
1980-02-27,0.126953,0.126953,0.125977,0.126953,0.073530,614400
1980-02-28,0.126953,0.127930,0.126953,0.127930,0.074096,1484800
1980-02-29,0.127441,0.127441,0.125000,0.125000,0.072399,1484800
1980-03-03,0.124023,0.124023,0.121582,0.121582,0.070419,691200
1980-03-04,0.121582,0.121582,0.120117,0.120117,0.069571,1152000
1980-03-05,0.120117,0.120605,0.119141,0.120117,0.069571,9472000
1980-03-06,0.120117,0.120605,0.117676,0.117676,0.068157,4710400
1980-03-07,0.117188,0.117188,0.116211,0.117188,0.067874,1587200
1980-03-10,0.116211,0.116211,0.111816,0.114258,0.066177,8448000
1980-03-11,0.114258,0.120117,0.111328,0.118164,0.068439,6374400
1980-03-12,0.117188,0.117188,0.115723,0.117188,0.067874,4198400
1980-03-13,0.116699,0.116699,0.115234,0.116699,0.067591,1075200
1980-03-14,0.115723,0.115723,0.114258,0.114258,0.066177,3968000
1980-03-17,0.114258,0.115234,0.113281,0.113281,0.065611,7372800
1980-03-18,0.113770,0.117188,0.113770,0.115723,0.067026,7193600
1980-03-19,0.115723,0.116211,0.115234,0.115723,0.067026,5990400
1980-03-20,0.115234,0.115234,0.114258,0.114258,0.066177,2278400
1980-03-21,0.114258,0.115234,0.113281,0.115234,0.066742,1228800
1980-03-24,0.115234,0.116211,0.115234,0.115234,0.066742,2483200
1980-03-25,0.115234,0.115234,0.115234,0.115234,0.066742,614400
1980-03-26,0.115234,0.115723,0.115234,0.115723,0.067026,384000
1980-03-27,0.115234,0.115234,0.113281,0.113281,0.065611,6118400
